epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,1.07006175,0.66284623,1.24978615,0.64420655,0.0010000000,63.4418,1,0
2,0.41846732,0.86946832,0.61808181,0.78715365,0.0010000000,63.2427,1,0
3,0.21824294,0.93266476,0.40407165,0.87783375,0.0010000000,63.4025,1,0
4,0.22326962,0.93107291,0.24847318,0.91498741,0.0010000000,63.2337,1,0
5,0.12008236,0.96354664,0.20222250,0.92947103,0.0010000000,63.3197,1,0
6,0.08888888,0.97293855,0.16686874,0.94773300,0.0010000000,63.2526,1,0
7,0.08204092,0.97421203,0.25808800,0.90994962,0.0010000000,63.3545,0,1
8,0.07627137,0.97532633,0.37542162,0.88161209,0.0010000000,63.1763,0,2
9,0.06999551,0.97739573,0.14413152,0.96284635,0.0010000000,63.2345,1,0
10,0.08070337,0.97532633,0.17346893,0.95403023,0.0010000000,63.2163,0,1
11,0.06485166,0.97882840,0.17900503,0.94962217,0.0010000000,63.2280,0,2
12,0.07088884,0.97946514,0.25238350,0.92506297,0.0010000000,64.9462,0,3
13,0.08313869,0.97421203,0.23268576,0.92758186,0.0010000000,63.7819,0,4
14,0.04281446,0.98742439,0.18141438,0.95654912,0.0010000000,63.3287,0,5
15,0.03323269,0.98917542,0.19809815,0.94458438,0.0001000000,63.1800,0,6
16,0.02339046,0.99299586,0.10053432,0.97984887,0.0001000000,63.4822,1,0
17,0.00999062,0.99729386,0.08712707,0.98299748,0.0001000000,63.4647,1,0
18,0.00657690,0.99920408,0.08868012,0.98299748,0.0001000000,63.3245,0,1
19,0.00838632,0.99808978,0.08502438,0.98173804,0.0001000000,63.2663,1,0
20,0.00584882,0.99856734,0.08861404,0.98299748,0.0001000000,63.2146,0,1
21,0.00550251,0.99904489,0.09955850,0.98047859,0.0001000000,63.4050,0,2
22,0.00428002,0.99936326,0.09351881,0.98110831,0.0001000000,63.5251,0,3
23,0.00462874,0.99872652,0.09917814,0.98110831,0.0001000000,63.1925,0,4
24,0.00560429,0.99872652,0.09300231,0.98236776,0.0001000000,64.8054,0,5
25,0.00474589,0.99936326,0.09899430,0.97732997,0.0000100000,63.2115,0,6
26,0.00393959,0.99920408,0.10137605,0.97670025,0.0000100000,63.4243,0,7
27,0.00373575,0.99904489,0.10142420,0.97795970,0.0000100000,63.1887,0,8
28,0.00350663,0.99920408,0.09507222,0.97921914,0.0000100000,63.4264,0,9
29,0.00384919,0.99920408,0.09603394,0.97795970,0.0000100000,63.1586,0,10
