epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,0.67214724,0.78191659,1.91709375,0.61272040,0.0010000000,73.6775,1,0
2,0.16906931,0.94794651,0.73798089,0.81738035,0.0010000000,56.5356,1,0
3,0.08933960,0.97182426,0.32560978,0.90239295,0.0010000000,56.5308,1,0
4,0.10778947,0.96784464,0.72426813,0.82808564,0.0010000000,56.6355,0,1
5,0.10502923,0.96418338,0.41425941,0.90617128,0.0010000000,56.4315,0,2
6,0.05907561,0.98217128,0.23472881,0.93639798,0.0010000000,57.3553,1,0
7,0.05980322,0.98392232,0.25544010,0.93702771,0.0010000000,56.3449,0,1
8,0.08440413,0.97644062,0.24458304,0.93765743,0.0010000000,56.3510,0,2
9,0.03665275,0.98997135,0.20892821,0.94710327,0.0010000000,57.1754,1,0
10,0.06319862,0.98248965,0.29152313,0.92506297,0.0010000000,56.3555,0,1
11,0.02665746,0.99013053,0.37904419,0.92128463,0.0010000000,56.5042,0,2
12,0.04305949,0.99013053,0.26787329,0.93010076,0.0010000000,56.5083,0,3
13,0.02795047,0.99140401,0.31861647,0.94647355,0.0010000000,56.5081,0,4
14,0.05158499,0.98424069,0.30615894,0.92695214,0.0010000000,56.4416,0,5
15,0.02523089,0.99172238,0.24686059,0.93261965,0.0001000000,57.1989,0,6
16,0.01723243,0.99395097,0.12635613,0.97166247,0.0001000000,56.6378,1,0
17,0.00523593,0.99888571,0.12426822,0.97544081,0.0001000000,56.6174,1,0
18,0.00520640,0.99888571,0.12529056,0.97418136,0.0001000000,56.6634,0,1
19,0.00248271,0.99968163,0.12699867,0.97481108,0.0001000000,56.4274,0,2
20,0.00478326,0.99840815,0.13140068,0.97355164,0.0001000000,56.2683,0,3
21,0.00289486,0.99920408,0.12445050,0.97481108,0.0001000000,56.5388,0,4
22,0.00251069,0.99952245,0.12018596,0.97607053,0.0001000000,56.7280,1,0
23,0.00221542,0.99920408,0.12280464,0.97670025,0.0001000000,56.6233,0,1
24,0.00411527,0.99904489,0.13062270,0.97544081,0.0001000000,56.3432,0,2
25,0.00139247,0.99968163,0.12876410,0.97607053,0.0001000000,56.2076,0,3
26,0.00295435,0.99872652,0.12762960,0.97355164,0.0001000000,56.4921,0,4
27,0.00202849,0.99888571,0.13254443,0.97607053,0.0001000000,56.6741,0,5
28,0.00154643,0.99968163,0.13456930,0.97481108,0.0000100000,56.3869,0,6
29,0.00146366,0.99936326,0.13235804,0.97418136,0.0000100000,56.2735,0,7
30,0.00110828,0.99968163,0.13204757,0.97418136,0.0000100000,56.6277,0,8
31,0.00110878,0.99984082,0.13178272,0.97418136,0.0000100000,56.7784,0,9
32,0.00210857,0.99936326,0.12740925,0.97544081,0.0000100000,56.4287,0,10
