epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,0.75286771,0.76870423,0.32418936,0.89798489,0.0010000000,78.2150,1,0
2,0.19274211,0.93584846,0.25043365,0.91624685,0.0010000000,76.8205,1,0
3,0.11967562,0.95924865,0.22009184,0.92821159,0.0010000000,77.0115,1,0
4,0.08176249,0.97262018,0.16652820,0.95277078,0.0010000000,76.8380,1,0
5,0.06820908,0.97803247,0.16628419,0.94017632,0.0010000000,78.4590,1,0
6,0.05836299,0.98280802,0.19334073,0.95088161,0.0010000000,78.2000,0,1
7,0.06457725,0.98057943,0.19480725,0.94332494,0.0010000000,76.7245,0,2
8,0.08260298,0.97771410,0.14038393,0.96536524,0.0010000000,77.4585,1,0
9,0.04579437,0.98567335,0.07760044,0.98173804,0.0010000000,79.4060,1,0
10,0.03124032,0.99044890,0.13921931,0.96284635,0.0010000000,75.1245,0,1
11,0.03692795,0.98901624,0.09696190,0.97040302,0.0010000000,73.7160,0,2
12,0.03811527,0.98790194,0.09002070,0.97607053,0.0010000000,77.0210,0,3
13,0.07000876,0.97866921,0.16111935,0.95969773,0.0010000000,80.7890,0,4
14,0.04913100,0.98599172,0.10260883,0.96977330,0.0010000000,79.4105,0,5
15,0.02775198,0.99331423,0.12124175,0.96473552,0.0001000000,78.9145,0,6
16,0.01204302,0.99713467,0.10717100,0.97229219,0.0001000000,79.0135,0,7
17,0.00796814,0.99777141,0.10449764,0.97166247,0.0001000000,77.9040,0,8
18,0.00769495,0.99793060,0.09493004,0.97481108,0.0001000000,79.1125,0,9
19,0.00554803,0.99872652,0.08315447,0.97732997,0.0001000000,77.5705,0,10
