epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,0.75472996,0.76615727,0.31438247,0.88350126,0.0010000000,70.6880,1,0
2,0.19332768,0.93871379,0.22271996,0.93639798,0.0010000000,70.5180,1,0
3,0.13403427,0.95733843,0.15721981,0.95717884,0.0010000000,70.7271,1,0
4,0.09607455,0.96848138,0.32088899,0.92821159,0.0010000000,70.4801,0,1
5,0.05964429,0.98248965,0.17603202,0.95088161,0.0010000000,70.6076,0,2
6,0.05045461,0.98535498,0.11943793,0.96914358,0.0010000000,70.6940,1,0
7,0.04080500,0.98869787,0.12479551,0.96095718,0.0010000000,70.6189,0,1
8,0.05987649,0.98328558,0.18081564,0.95025189,0.0010000000,70.4489,0,2
9,0.05371300,0.98455906,0.12868750,0.96221662,0.0010000000,71.0594,0,3
10,0.04009152,0.98599172,0.17489190,0.95780856,0.0010000000,77.6673,0,4
11,0.03912820,0.98806113,0.10543563,0.97103275,0.0010000000,78.2148,1,0
12,0.03168785,0.98949379,0.12174604,0.96851385,0.0010000000,76.8280,0,1
13,0.03057492,0.99060809,0.16078947,0.96725441,0.0010000000,76.0213,0,2
14,0.02288776,0.99235912,0.30652742,0.96032746,0.0010000000,78.1314,0,3
15,0.02831212,0.99076727,0.13726136,0.96473552,0.0010000000,77.7717,0,4
16,0.03775683,0.98758357,0.20370269,0.95465995,0.0010000000,76.5833,0,5
17,0.04995489,0.98471824,0.09445258,0.97858942,0.0010000000,77.9417,1,0
18,0.02563388,0.99219994,0.11477003,0.97858942,0.0010000000,79.8890,0,1
19,0.03317379,0.98806113,0.10815436,0.97481108,0.0010000000,79.1100,0,2
20,0.04948181,0.98439987,0.15817871,0.96473552,0.0010000000,81.3546,0,3
21,0.03143924,0.99108564,0.21931562,0.96032746,0.0010000000,83.7930,0,4
22,0.02393858,0.99251831,0.10560197,0.97355164,0.0010000000,81.4760,0,5
23,0.01278326,0.99586119,0.08002033,0.97921914,0.0010000000,71.8570,1,0
24,0.01746535,0.99426934,0.14423329,0.96410579,0.0010000000,73.4600,0,1
25,0.01175444,0.99633875,0.15565861,0.96851385,0.0010000000,81.4145,0,2
26,0.02418875,0.99283668,0.18466851,0.95906801,0.0010000000,78.8010,0,3
27,0.00609281,0.99793060,0.11075031,0.97355164,0.0010000000,77.0860,0,4
28,0.00865613,0.99808978,0.10628229,0.97984887,0.0010000000,77.0310,0,5
29,0.01229231,0.99681630,0.13041154,0.97229219,0.0001000000,79.1745,0,6
30,0.01076695,0.99761223,0.11843794,0.97607053,0.0001000000,78.4220,0,7
31,0.00517147,0.99856734,0.11810348,0.97418136,0.0001000000,77.6610,0,8
32,0.00280287,0.99920408,0.12581932,0.97292191,0.0001000000,77.8005,0,9
33,0.00340396,0.99920408,0.11758059,0.97544081,0.0001000000,78.2145,0,10
