epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,1.14379917,0.64565425,1.16164169,0.61964736,0.0010000000,86.2627,1,0
2,0.54414283,0.81661891,1.62221296,0.58501259,0.0010000000,85.9315,0,1
3,0.40310568,0.86739892,0.69474563,0.75944584,0.0010000000,86.2870,1,0
4,0.25549910,0.91515441,0.73489453,0.76070529,0.0010000000,86.2312,0,1
5,0.19633942,0.93584846,0.32288505,0.89798489,0.0010000000,86.1171,1,0
6,0.20893243,0.92868513,0.48389210,0.84005038,0.0010000000,85.9122,0,1
7,0.15779763,0.94380770,0.34525610,0.88979849,0.0010000000,86.2586,0,2
8,0.12596361,0.95749761,0.46871486,0.85138539,0.0010000000,86.0039,0,3
9,0.13910203,0.95590576,0.24668889,0.92695214,0.0010000000,86.2359,1,0
10,0.09609996,0.96720790,0.34742326,0.91750630,0.0010000000,86.2141,0,1
11,0.11645886,0.96195479,0.48135034,0.84068010,0.0010000000,85.9610,0,2
12,0.07499502,0.97516714,0.27303406,0.90365239,0.0010000000,85.9376,0,3
13,0.20225401,0.93202802,0.35582480,0.89357683,0.0010000000,85.9765,0,4
14,0.10925271,0.96466094,0.19361036,0.94143577,0.0010000000,86.1365,1,0
15,0.06121599,0.97882840,0.17227634,0.96284635,0.0010000000,86.1990,1,0
16,0.04643759,0.98551417,0.15346971,0.95717884,0.0010000000,86.2323,1,0
17,0.03742929,0.98869787,0.21024296,0.94521411,0.0010000000,86.0778,0,1
18,0.04748559,0.98360395,0.18634152,0.94773300,0.0010000000,86.0375,0,2
19,0.10081329,0.96800382,0.31586380,0.91435768,0.0010000000,86.1356,0,3
20,0.06452760,0.97723655,0.17622345,0.95528967,0.0010000000,85.9068,0,4
21,0.03601341,0.98774276,0.09530996,0.97858942,0.0010000000,86.0891,1,0
22,0.02960080,0.99108564,0.14723711,0.96032746,0.0010000000,86.1933,0,1
23,0.04262194,0.98678765,0.14001985,0.96095718,0.0010000000,86.0372,0,2
24,0.05853217,0.98217128,0.25120937,0.91939547,0.0010000000,85.9025,0,3
25,0.08394585,0.97262018,0.19847479,0.94962217,0.0010000000,86.0170,0,4
26,0.05789548,0.97978351,0.14777823,0.95340050,0.0010000000,85.9439,0,5
27,0.05016706,0.98439987,0.18084285,0.94206549,0.0001000000,86.1146,0,6
28,0.01995253,0.99363260,0.09704562,0.97481108,0.0001000000,86.1978,0,7
29,0.01058424,0.99713467,0.07694059,0.98236776,0.0001000000,86.3294,1,0
30,0.01009072,0.99745304,0.09156435,0.97670025,0.0001000000,86.1242,0,1
31,0.00778498,0.99793060,0.08562589,0.97732997,0.0001000000,86.2153,0,2
32,0.00786217,0.99808978,0.08142507,0.98110831,0.0001000000,86.3101,0,3
33,0.00692753,0.99872652,0.07791260,0.98299748,0.0001000000,86.0193,0,4
34,0.00578121,0.99904489,0.08465428,0.98362720,0.0001000000,86.0756,0,5
35,0.00547378,0.99856734,0.08543087,0.98236776,0.0000100000,86.3580,0,6
36,0.00413116,0.99904489,0.08216804,0.98047859,0.0000100000,85.9597,0,7
37,0.00491952,0.99856734,0.08642488,0.98173804,0.0000100000,86.0913,0,8
38,0.00505962,0.99888571,0.08005304,0.98173804,0.0000100000,85.9682,0,9
39,0.00460463,0.99952245,0.08027394,0.98110831,0.0000100000,86.0012,0,10
