epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,1.14325690,0.63594397,1.88411307,0.42506297,0.0010000000,86.0830,1,0
2,0.56729863,0.81136581,0.80693004,0.73362720,0.0010000000,86.1434,1,0
3,0.41615557,0.86692136,0.53895249,0.82493703,0.0010000000,86.2793,1,0
4,0.29817376,0.90066858,0.43205913,0.86146096,0.0010000000,86.2688,1,0
5,0.21270861,0.93139128,0.50855177,0.83690176,0.0010000000,86.4397,0,1
6,0.15256120,0.95017510,0.25307412,0.91876574,0.0010000000,86.1718,1,0
7,0.12497480,0.95686087,0.34967944,0.88098237,0.0010000000,86.0995,0,1
8,0.14686825,0.95033429,0.44487676,0.84508816,0.0010000000,85.9390,0,2
9,0.12317914,0.95908946,0.36408691,0.89105793,0.0010000000,86.1115,0,3
10,0.13574203,0.95526902,0.34634634,0.88602015,0.0010000000,86.0877,0,4
11,0.12103330,0.95956702,0.29127933,0.90806045,0.0010000000,86.0269,0,5
12,0.09945061,0.96911812,0.18061124,0.94584383,0.0010000000,86.4608,1,0
13,0.07292507,0.97723655,0.14588407,0.95528967,0.0010000000,85.8791,1,0
14,0.07358596,0.97500796,0.21794092,0.92947103,0.0010000000,86.0556,0,1
15,0.09742372,0.96800382,0.13246598,0.95780856,0.0010000000,86.1403,1,0
16,0.06214805,0.98042025,0.19854576,0.94206549,0.0010000000,86.0364,0,1
17,0.06926999,0.97580388,0.22195426,0.92758186,0.0010000000,86.2362,0,2
18,0.06435486,0.98105699,0.34173620,0.90680101,0.0010000000,86.0176,0,3
19,0.06403692,0.97835084,0.19478154,0.94521411,0.0010000000,85.9511,0,4
20,0.07380598,0.97787329,0.34160905,0.88916877,0.0010000000,86.1426,0,5
21,0.13583113,0.95542821,0.14286598,0.95717884,0.0001000000,86.0661,0,6
22,0.03198909,0.99124483,0.09584884,0.97544081,0.0001000000,86.1062,1,0
23,0.01876380,0.99442853,0.09056676,0.97858942,0.0001000000,86.4223,1,0
24,0.01511231,0.99586119,0.09224975,0.97984887,0.0001000000,86.1403,0,1
25,0.01489890,0.99602038,0.08711529,0.98299748,0.0001000000,86.0655,1,0
26,0.01090735,0.99697549,0.09131435,0.98299748,0.0001000000,85.8342,0,1
27,0.01125435,0.99681630,0.08807074,0.98110831,0.0001000000,85.9987,0,2
28,0.00744774,0.99824897,0.08566546,0.98362720,0.0001000000,86.0764,1,0
29,0.00816580,0.99824897,0.09390359,0.97921914,0.0001000000,86.1282,0,1
30,0.00694218,0.99888571,0.08978197,0.98362720,0.0001000000,86.1943,0,2
31,0.00626890,0.99872652,0.09498847,0.98299748,0.0001000000,86.2552,0,3
32,0.00628283,0.99888571,0.08908660,0.98425693,0.0001000000,86.1918,0,4
33,0.00696510,0.99856734,0.08165345,0.98425693,0.0001000000,87.7107,1,0
34,0.00576175,0.99856734,0.08581087,0.98362720,0.0001000000,86.6735,0,1
35,0.00559489,0.99904489,0.08161309,0.98425693,0.0001000000,86.0888,1,0
36,0.00559895,0.99872652,0.08364672,0.98362720,0.0001000000,86.2771,0,1
37,0.00603720,0.99793060,0.07720267,0.98551637,0.0001000000,86.2341,1,0
38,0.00518361,0.99856734,0.08700799,0.98425693,0.0001000000,86.0603,0,1
39,0.00560795,0.99856734,0.08371129,0.98425693,0.0001000000,86.1108,0,2
40,0.00442180,0.99888571,0.07996949,0.98677582,0.0001000000,86.1209,0,3
41,0.00444384,0.99888571,0.09116714,0.98173804,0.0001000000,86.0644,0,4
42,0.00623151,0.99761223,0.09528099,0.97984887,0.0001000000,86.0541,0,5
43,0.00620919,0.99840815,0.08850879,0.98110831,0.0000100000,86.2544,0,6
44,0.00433461,0.99872652,0.08546452,0.98047859,0.0000100000,86.1632,0,7
45,0.00366677,0.99920408,0.08504011,0.98236776,0.0000100000,86.1495,0,8
46,0.00445965,0.99904489,0.08600019,0.98425693,0.0000100000,86.2748,0,9
47,0.00373674,0.99952245,0.08778496,0.98236776,0.0000100000,86.1290,0,10
