epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,0.99039235,0.67940146,0.82374026,0.71725441,0.0010000000,63.3583,1,0
2,0.33588909,0.89334607,0.60358803,0.78841310,0.0010000000,63.2318,1,0
3,0.18636714,0.93744031,0.38643476,0.87783375,0.0010000000,63.3294,1,0
4,0.16771068,0.94715059,0.29636795,0.91372796,0.0010000000,64.0209,1,0
5,0.10495815,0.96816301,0.18980190,0.94080605,0.0010000000,63.2776,1,0
6,0.09594711,0.97055078,0.20080812,0.93073048,0.0010000000,63.3300,0,1
7,0.07459864,0.97644062,0.24318724,0.93891688,0.0010000000,63.1288,0,2
8,0.07593632,0.97596307,0.34494429,0.90617128,0.0010000000,63.2662,0,3
9,0.11169087,0.96434257,0.17785155,0.95088161,0.0010000000,63.0991,1,0
10,0.05885624,0.98248965,0.16434411,0.95340050,0.0010000000,63.2313,1,0
11,0.09941642,0.97007323,0.17260335,0.93576826,0.0010000000,64.0578,0,1
12,0.06313575,0.97994269,0.21665912,0.93010076,0.0010000000,63.2362,0,2
13,0.15441247,0.95097103,0.27287098,0.91120907,0.0010000000,63.0897,0,3
14,0.06506034,0.98169373,0.13240054,0.95717884,0.0010000000,63.4090,1,0
15,0.03502298,0.99044890,0.09271112,0.97103275,0.0010000000,63.2810,1,0
16,0.02955504,0.99013053,0.14505852,0.96662469,0.0010000000,63.2588,0,1
17,0.05378568,0.98487743,0.20358309,0.94899244,0.0010000000,63.3963,0,2
18,0.03239390,0.98933461,0.15303195,0.95465995,0.0010000000,63.2142,0,3
19,0.08252355,0.97437122,0.11232453,0.96536524,0.0010000000,64.0373,0,4
20,0.02601298,0.99379179,0.15216102,0.96599496,0.0010000000,63.3373,0,5
21,0.03081902,0.99013053,0.18463569,0.95088161,0.0001000000,63.3935,0,6
22,0.01790052,0.99522445,0.12410458,0.96536524,0.0001000000,63.3233,0,7
23,0.01027334,0.99777141,0.11275526,0.97040302,0.0001000000,63.4220,0,8
24,0.00821251,0.99808978,0.11069827,0.96851385,0.0001000000,63.4371,0,9
25,0.00633264,0.99856734,0.10902280,0.97670025,0.0001000000,63.0221,0,10
