epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec,is_best,early_stop_counter
1,0.68381294,0.78239414,1.52932232,0.61020151,0.0010000000,56.4755,1,0
2,0.17133586,0.94380770,0.49488942,0.85075567,0.0010000000,56.6058,1,0
3,0.14877309,0.95192614,1.55290022,0.67506297,0.0010000000,56.5379,0,1
4,0.09390329,0.96736708,0.54840847,0.84319899,0.0010000000,56.3721,0,2
5,0.08013468,0.97755492,0.22095935,0.93324937,0.0010000000,56.5383,1,0
6,0.04362059,0.98742439,0.20875766,0.94017632,0.0010000000,56.7614,1,0
7,0.04776685,0.98631009,0.21286493,0.95214106,0.0010000000,56.5340,0,1
8,0.05761546,0.98217128,0.18471303,0.93198992,0.0010000000,56.3457,1,0
9,0.03614528,0.99013053,0.19649383,0.94584383,0.0010000000,56.8282,0,1
10,0.04044005,0.98631009,0.27624650,0.94017632,0.0010000000,56.4535,0,2
11,0.02989673,0.98917542,0.42268719,0.93136020,0.0010000000,56.4554,0,3
12,0.07606632,0.97596307,0.61362135,0.84193955,0.0010000000,56.5141,0,4
13,0.03619952,0.98806113,0.18558734,0.95528967,0.0010000000,56.5763,0,5
14,0.01862173,0.99379179,0.23566427,0.94017632,0.0001000000,57.5422,0,6
15,0.01188623,0.99602038,0.12026612,0.97103275,0.0001000000,58.3638,1,0
16,0.00424933,0.99920408,0.11869611,0.97292191,0.0001000000,58.1530,1,0
17,0.00336635,0.99904489,0.12018964,0.97481108,0.0001000000,57.3857,0,1
18,0.00414610,0.99888571,0.12332176,0.97292191,0.0001000000,56.9442,0,2
19,0.00277501,0.99888571,0.12511981,0.97229219,0.0001000000,57.0672,0,3
20,0.00283501,0.99936326,0.12984771,0.97292191,0.0001000000,56.5942,0,4
21,0.00276932,0.99920408,0.12553730,0.97292191,0.0001000000,56.7706,0,5
22,0.00204097,0.99920408,0.12176819,0.97418136,0.0000100000,57.1697,0,6
23,0.00147994,0.99984082,0.12137168,0.97544081,0.0000100000,57.6829,0,7
24,0.00169989,0.99952245,0.12293768,0.97418136,0.0000100000,56.6861,0,8
25,0.00223772,0.99920408,0.12175850,0.97418136,0.0000100000,56.2414,0,9
26,0.00167852,0.99968163,0.12308244,0.97418136,0.0000100000,55.9200,0,10
