method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
standard_pgd,0.25,A1,1092,0.917582,0.030220,0.887363,0.967066
standard_pgd,0.25,A10,556,0.987410,0.250000,0.737410,0.746812
standard_pgd,0.25,A11,356,0.926966,0.061798,0.865169,0.933333
standard_pgd,0.25,A12,462,0.898268,0.017316,0.880952,0.980723
standard_pgd,0.25,A13,1091,0.687443,0.036664,0.650779,0.946667
standard_pgd,0.25,A14,1119,0.865952,0.028597,0.837355,0.966976
standard_pgd,0.25,A15,418,0.808612,0.016746,0.791866,0.979290
standard_pgd,0.25,A16,1847,0.511640,0.002166,0.509475,0.995767
standard_pgd,0.25,A17,958,0.972860,0.024008,0.948852,0.975322
standard_pgd,0.25,A18,148,0.804054,0.047297,0.756757,0.941176
standard_pgd,0.25,A19,717,0.781032,0.032078,0.748954,0.958929
standard_pgd,0.25,A2,993,0.811682,0.024169,0.787513,0.970223
standard_pgd,0.25,A20,551,0.916515,0.125227,0.791289,0.863366
standard_pgd,0.25,A3,860,0.975581,0.068605,0.906977,0.929678
standard_pgd,0.25,A4,463,0.928726,0.079914,0.848812,0.913953
standard_pgd,0.25,A5,827,0.769045,0.044740,0.724305,0.941824
standard_pgd,0.25,A6,334,0.961078,0.044910,0.916168,0.953271
standard_pgd,0.25,A7,489,0.983640,0.216769,0.766871,0.779626
standard_pgd,0.25,A8,579,0.867012,0.017271,0.849741,0.980080
standard_pgd,0.25,A9,611,0.880524,0.047463,0.833061,0.946097
