method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,0.125,A1,1092,0.917582,0.839744,0.077839,0.084830
layercam_masked_pgd,0.125,A10,556,0.987410,0.964029,0.023381,0.023679
layercam_masked_pgd,0.125,A11,356,0.926966,0.862360,0.064607,0.069697
layercam_masked_pgd,0.125,A12,462,0.898268,0.835498,0.062771,0.069880
layercam_masked_pgd,0.125,A13,1091,0.687443,0.542621,0.144821,0.210667
layercam_masked_pgd,0.125,A14,1119,0.865952,0.779267,0.086685,0.100103
layercam_masked_pgd,0.125,A15,418,0.808612,0.688995,0.119617,0.147929
layercam_masked_pgd,0.125,A16,1847,0.511640,0.357336,0.154304,0.301587
layercam_masked_pgd,0.125,A17,958,0.972860,0.939457,0.033403,0.034335
layercam_masked_pgd,0.125,A18,148,0.804054,0.695946,0.108108,0.134454
layercam_masked_pgd,0.125,A19,717,0.781032,0.715481,0.065551,0.083929
layercam_masked_pgd,0.125,A2,993,0.811682,0.702920,0.108761,0.133995
layercam_masked_pgd,0.125,A20,551,0.916515,0.880218,0.036298,0.039604
layercam_masked_pgd,0.125,A3,860,0.975581,0.952326,0.023256,0.023838
layercam_masked_pgd,0.125,A4,463,0.928726,0.859611,0.069114,0.074419
layercam_masked_pgd,0.125,A5,827,0.769045,0.692866,0.076179,0.099057
layercam_masked_pgd,0.125,A6,334,0.961078,0.949102,0.011976,0.012461
layercam_masked_pgd,0.125,A7,489,0.983640,0.971370,0.012270,0.012474
layercam_masked_pgd,0.125,A8,579,0.867012,0.751295,0.115717,0.133466
layercam_masked_pgd,0.125,A9,611,0.880524,0.792144,0.088380,0.100372
