method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,0.5,A1,1092,0.916667,0.470696,0.445971,0.486513
layercam_masked_pgd,0.5,A10,556,0.980216,0.798561,0.181655,0.185321
layercam_masked_pgd,0.5,A11,356,0.910112,0.702247,0.207865,0.228395
layercam_masked_pgd,0.5,A12,462,0.928571,0.569264,0.359307,0.386946
layercam_masked_pgd,0.5,A13,1091,0.688359,0.192484,0.495875,0.720373
layercam_masked_pgd,0.5,A14,1119,0.930295,0.313673,0.616622,0.662824
layercam_masked_pgd,0.5,A15,418,0.839713,0.239234,0.600478,0.715100
layercam_masked_pgd,0.5,A16,1847,0.753655,0.157553,0.596102,0.790948
layercam_masked_pgd,0.5,A17,958,0.967641,0.766180,0.201461,0.208198
layercam_masked_pgd,0.5,A18,148,0.918919,0.641892,0.277027,0.301471
layercam_masked_pgd,0.5,A19,717,0.831241,0.543933,0.287308,0.345638
layercam_masked_pgd,0.5,A2,993,0.917422,0.420947,0.496475,0.541164
layercam_masked_pgd,0.5,A20,551,0.885662,0.644283,0.241379,0.272541
layercam_masked_pgd,0.5,A3,860,0.967442,0.645349,0.322093,0.332933
layercam_masked_pgd,0.5,A4,463,0.926566,0.343413,0.583153,0.629371
layercam_masked_pgd,0.5,A5,827,0.753325,0.313180,0.440145,0.584270
layercam_masked_pgd,0.5,A6,334,0.943114,0.571856,0.371257,0.393651
layercam_masked_pgd,0.5,A7,489,0.989775,0.914110,0.075665,0.076446
layercam_masked_pgd,0.5,A8,579,0.898100,0.233161,0.664940,0.740385
layercam_masked_pgd,0.5,A9,611,0.906710,0.484452,0.422259,0.465704
