method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
standard_pgd,0.25,A1,1092,0.916667,0.099817,0.816850,0.891109
standard_pgd,0.25,A10,556,0.980216,0.311151,0.669065,0.682569
standard_pgd,0.25,A11,356,0.910112,0.230337,0.679775,0.746914
standard_pgd,0.25,A12,462,0.928571,0.084416,0.844156,0.909091
standard_pgd,0.25,A13,1091,0.688359,0.048579,0.639780,0.929427
standard_pgd,0.25,A14,1119,0.930295,0.047364,0.882931,0.949087
standard_pgd,0.25,A15,418,0.839713,0.055024,0.784689,0.934473
standard_pgd,0.25,A16,1847,0.753655,0.007038,0.746616,0.990661
standard_pgd,0.25,A17,958,0.967641,0.222338,0.745303,0.770227
standard_pgd,0.25,A18,148,0.918919,0.101351,0.817568,0.889706
standard_pgd,0.25,A19,717,0.831241,0.227336,0.603905,0.726510
standard_pgd,0.25,A2,993,0.917422,0.082578,0.834844,0.909989
standard_pgd,0.25,A20,551,0.885662,0.266788,0.618875,0.698770
standard_pgd,0.25,A3,860,0.967442,0.139535,0.827907,0.855769
standard_pgd,0.25,A4,463,0.926566,0.082073,0.844492,0.911422
standard_pgd,0.25,A5,827,0.753325,0.067715,0.685611,0.910112
standard_pgd,0.25,A6,334,0.943114,0.014970,0.928144,0.984127
standard_pgd,0.25,A7,489,0.989775,0.599182,0.390593,0.394628
standard_pgd,0.25,A8,579,0.898100,0.039724,0.858377,0.955769
standard_pgd,0.25,A9,611,0.906710,0.153846,0.752864,0.830325
