method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
standard_pgd,0.125,A1,1092,0.917582,0.364469,0.553114,0.602794
standard_pgd,0.125,A10,556,0.987410,0.744604,0.242806,0.245902
standard_pgd,0.125,A11,356,0.926966,0.466292,0.460674,0.496970
standard_pgd,0.125,A12,462,0.898268,0.290043,0.608225,0.677108
standard_pgd,0.125,A13,1091,0.687443,0.214482,0.472961,0.688000
standard_pgd,0.125,A14,1119,0.865952,0.298481,0.567471,0.655315
standard_pgd,0.125,A15,418,0.808612,0.222488,0.586124,0.724852
standard_pgd,0.125,A16,1847,0.511640,0.055766,0.455874,0.891005
standard_pgd,0.125,A17,958,0.972860,0.492693,0.480167,0.493562
standard_pgd,0.125,A18,148,0.804054,0.337838,0.466216,0.579832
standard_pgd,0.125,A19,717,0.781032,0.345886,0.435146,0.557143
standard_pgd,0.125,A2,993,0.811682,0.352467,0.459215,0.565757
standard_pgd,0.125,A20,551,0.916515,0.490018,0.426497,0.465347
standard_pgd,0.125,A3,860,0.975581,0.568605,0.406977,0.417163
standard_pgd,0.125,A4,463,0.928726,0.440605,0.488121,0.525581
standard_pgd,0.125,A5,827,0.769045,0.378476,0.390568,0.507862
standard_pgd,0.125,A6,334,0.961078,0.745509,0.215569,0.224299
standard_pgd,0.125,A7,489,0.983640,0.770961,0.212679,0.216216
standard_pgd,0.125,A8,579,0.867012,0.221071,0.645941,0.745020
standard_pgd,0.125,A9,611,0.880524,0.312602,0.567921,0.644981
