proposed_epsilon_px,standard_epsilon_px,proposed_attack_success,standard_attack_success,attack_success_gap_abs,proposed_adv_accuracy,standard_adv_accuracy,proposed_mask_area,standard_mask_area,area_reduction,proposed_l2,standard_l2,l2_reduction,proposed_mae,standard_mae,mae_reduction,proposed_mse,standard_mse,mse_reduction,proposed_psnr,standard_psnr,psnr_gain,proposed_ssim,standard_ssim,ssim_gain
0.125,0.125,0.101028,0.564051,0.463023,0.743418,0.360514,0.059198,1.000000,0.940802,0.088699,0.349459,0.746182,0.00002796,0.00042466,0.934159,0.00000001,0.00000020,0.950000,78.998062,66.934456,12.063606,1.000000,0.999998,0.000002
0.25,0.125,0.234060,0.564051,0.329991,0.633405,0.360514,0.059198,1.000000,0.940802,0.173891,0.349459,0.502399,0.00005430,0.00042466,0.872133,0.00000005,0.00000020,0.750000,73.150414,66.934456,6.215958,0.999999,0.999998,0.000001
0.5,0.125,0.534470,0.564051,0.029581,0.384977,0.360514,0.059198,1.000000,0.940802,0.334923,0.349459,0.041596,0.00010288,0.00042466,0.757736,0.00000019,0.00000020,0.050000,67.456551,66.934456,0.522095,0.999998,0.999998,0.000000
1,0.25,0.876494,0.939500,0.063006,0.102135,0.050031,0.059198,1.000000,0.940802,0.626969,0.677446,0.074511,0.00018775,0.00081244,0.768906,0.00000068,0.00000076,0.105263,62.011055,61.184776,0.826279,0.999992,0.999991,0.000001
