method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
standard_pgd,1,A1,1092,0.917582,0.000000,0.917582,1.000000
standard_pgd,1,A10,556,0.987410,0.000000,0.987410,1.000000
standard_pgd,1,A11,356,0.926966,0.000000,0.926966,1.000000
standard_pgd,1,A12,462,0.898268,0.000000,0.898268,1.000000
standard_pgd,1,A13,1091,0.687443,0.000000,0.687443,1.000000
standard_pgd,1,A14,1119,0.865952,0.000000,0.865952,1.000000
standard_pgd,1,A15,418,0.808612,0.000000,0.808612,1.000000
standard_pgd,1,A16,1847,0.511640,0.000000,0.511640,1.000000
standard_pgd,1,A17,958,0.972860,0.000000,0.972860,1.000000
standard_pgd,1,A18,148,0.804054,0.000000,0.804054,1.000000
standard_pgd,1,A19,717,0.781032,0.000000,0.781032,1.000000
standard_pgd,1,A2,993,0.811682,0.000000,0.811682,1.000000
standard_pgd,1,A20,551,0.916515,0.000000,0.916515,1.000000
standard_pgd,1,A3,860,0.975581,0.000000,0.975581,1.000000
standard_pgd,1,A4,463,0.928726,0.000000,0.928726,1.000000
standard_pgd,1,A5,827,0.769045,0.000000,0.769045,1.000000
standard_pgd,1,A6,334,0.961078,0.000000,0.961078,1.000000
standard_pgd,1,A7,489,0.983640,0.000000,0.983640,1.000000
standard_pgd,1,A8,579,0.867012,0.000000,0.867012,1.000000
standard_pgd,1,A9,611,0.880524,0.000000,0.880524,1.000000
