method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
standard_pgd,0.5,A1,1092,0.916667,0.000000,0.916667,1.000000
standard_pgd,0.5,A10,556,0.980216,0.003597,0.976619,0.996330
standard_pgd,0.5,A11,356,0.910112,0.002809,0.907303,0.996914
standard_pgd,0.5,A12,462,0.928571,0.000000,0.928571,1.000000
standard_pgd,0.5,A13,1091,0.688359,0.000000,0.688359,1.000000
standard_pgd,0.5,A14,1119,0.930295,0.000000,0.930295,1.000000
standard_pgd,0.5,A15,418,0.839713,0.000000,0.839713,1.000000
standard_pgd,0.5,A16,1847,0.753655,0.000000,0.753655,1.000000
standard_pgd,0.5,A17,958,0.967641,0.000000,0.967641,1.000000
standard_pgd,0.5,A18,148,0.918919,0.000000,0.918919,1.000000
standard_pgd,0.5,A19,717,0.831241,0.002789,0.828452,0.996644
standard_pgd,0.5,A2,993,0.917422,0.000000,0.917422,1.000000
standard_pgd,0.5,A20,551,0.885662,0.000000,0.885662,1.000000
standard_pgd,0.5,A3,860,0.967442,0.001163,0.966279,0.998798
standard_pgd,0.5,A4,463,0.926566,0.002160,0.924406,0.997669
standard_pgd,0.5,A5,827,0.753325,0.000000,0.753325,1.000000
standard_pgd,0.5,A6,334,0.943114,0.000000,0.943114,1.000000
standard_pgd,0.5,A7,489,0.989775,0.030675,0.959100,0.969008
standard_pgd,0.5,A8,579,0.898100,0.000000,0.898100,1.000000
standard_pgd,0.5,A9,611,0.906710,0.000000,0.906710,1.000000
