stage,model_name,attention,head,activation,train_scope,seeds
stage2_5_activation,efficientnetb0_eca_mlp512_relu_full,eca,mlp512,relu,full,1
stage2_5_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1
