stage,model_name,attention,head,activation,train_scope,seeds
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,1 2 3
stage1_attention,efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,1 2 3
