stage,model_name,attention,head,activation,train_scope,seeds
stage2_activation,efficientnetb0_eca_mlp512_relu_full,eca,mlp512,relu,full,1 2 3
stage2_activation,efficientnetb0_eca_mlp512_silu_full,eca,mlp512,silu,full,1 2 3
