stage,model_name,attention,head,activation,train_scope,n_seeds,seeds,best_val_acc_mean,best_val_acc_std,best_val_loss_mean,best_val_loss_std,train_val_gap_mean,train_val_gap_std,best_epoch_mean,best_epoch_std,best_seed,best_seed_val_acc,best_seed_checkpoint,trainable_params
stage1_attention,efficientnetb0_eca_mlp512_full,eca,mlp512,relu,full,3,1 2 3,0.98299748,0.00377834,0.07847140,0.00971861,0.01551679,0.00343275,27.0000,12.1244,2,0.98677582,best_efficientnetb0_eca_mlp512_full_pretrained_seed2.pth,4673683
stage1_attention,efficientnetb0_se_mlp512_full,se,mlp512,relu,full,3,1 2 3,0.97816960,0.00567915,0.08232067,0.01085505,0.01047520,0.00456483,15.3333,7.0946,2,0.98362720,best_efficientnetb0_se_mlp512_full_pretrained_seed2.pth,4879840
