stage,model_name,attention,head,activation,train_scope,seed,best_epoch,epochs_ran,best_train_acc,best_val_loss,best_val_acc,train_val_gap_at_best,trainable_params,batch_size,grad_accum_steps,effective_batch_size,checkpoint,log_file
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,1,12,22,0.78955747,1.40977051,0.59634761,0.19320986,25623,64,1,64,best_efficientnetb0_eca_added_only_pretrained_seed1.pth,metrics_efficientnetb0_eca_added_only_pretrained_seed1.csv
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,2,9,19,0.77013690,1.64407568,0.56297229,0.20716461,25623,64,1,64,best_efficientnetb0_eca_added_only_pretrained_seed2.pth,metrics_efficientnetb0_eca_added_only_pretrained_seed2.csv
stage4_scope,efficientnetb0_eca_added_only,eca,linear,relu,added_only,3,33,43,0.83221904,1.41643657,0.60768262,0.22453642,25623,64,1,64,best_efficientnetb0_eca_added_only_pretrained_seed3.pth,metrics_efficientnetb0_eca_added_only_pretrained_seed3.csv
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,1,12,22,0.96848138,0.40401457,0.88350126,0.08498012,1155015,64,1,64,best_efficientnetb0_eca_last2_pretrained_seed1.pth,metrics_efficientnetb0_eca_last2_pretrained_seed1.csv
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,2,25,35,0.98742439,0.31512837,0.90365239,0.08377199,1155015,64,1,64,best_efficientnetb0_eca_last2_pretrained_seed2.pth,metrics_efficientnetb0_eca_last2_pretrained_seed2.csv
stage4_scope,efficientnetb0_eca_last2,eca,linear,relu,last2,3,11,21,0.96736708,0.39761919,0.86460957,0.10275751,1155015,64,1,64,best_efficientnetb0_eca_last2_pretrained_seed3.pth,metrics_efficientnetb0_eca_last2_pretrained_seed3.csv
stage4_scope,efficientnetb0_eca_full,eca,linear,relu,full,1,12,22,0.99235912,0.06234531,0.98551637,0.00684275,4033171,64,1,64,best_efficientnetb0_eca_full_pretrained_seed1.pth,metrics_efficientnetb0_eca_full_pretrained_seed1.csv
stage4_scope,efficientnetb0_eca_full,eca,linear,relu,full,2,13,23,0.99140401,0.06908680,0.98551637,0.00588764,4033171,64,1,64,best_efficientnetb0_eca_full_pretrained_seed2.pth,metrics_efficientnetb0_eca_full_pretrained_seed2.csv
stage4_scope,efficientnetb0_eca_full,eca,linear,relu,full,3,29,39,0.99952245,0.08233582,0.98362720,0.01589524,4033171,64,1,64,best_efficientnetb0_eca_full_pretrained_seed3.pth,metrics_efficientnetb0_eca_full_pretrained_seed3.csv
