method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,0.5,A1,1092,0.917582,0.409341,0.508242,0.553892
layercam_masked_pgd,0.5,A10,556,0.987410,0.681655,0.305755,0.309654
layercam_masked_pgd,0.5,A11,356,0.926966,0.615169,0.311798,0.336364
layercam_masked_pgd,0.5,A12,462,0.898268,0.452381,0.445887,0.496386
layercam_masked_pgd,0.5,A13,1091,0.687443,0.185151,0.502291,0.730667
layercam_masked_pgd,0.5,A14,1119,0.865952,0.312779,0.553172,0.638803
layercam_masked_pgd,0.5,A15,418,0.808612,0.208134,0.600478,0.742604
layercam_masked_pgd,0.5,A16,1847,0.511640,0.076881,0.434759,0.849735
layercam_masked_pgd,0.5,A17,958,0.972860,0.561587,0.411273,0.422747
layercam_masked_pgd,0.5,A18,148,0.804054,0.304054,0.500000,0.621849
layercam_masked_pgd,0.5,A19,717,0.781032,0.407252,0.373780,0.478571
layercam_masked_pgd,0.5,A2,993,0.811682,0.321249,0.490433,0.604218
layercam_masked_pgd,0.5,A20,551,0.916515,0.760436,0.156080,0.170297
layercam_masked_pgd,0.5,A3,860,0.975581,0.617442,0.358140,0.367104
layercam_masked_pgd,0.5,A4,463,0.928726,0.395248,0.533477,0.574419
layercam_masked_pgd,0.5,A5,827,0.769045,0.268440,0.500605,0.650943
layercam_masked_pgd,0.5,A6,334,0.961078,0.733533,0.227545,0.236760
layercam_masked_pgd,0.5,A7,489,0.983640,0.791411,0.192229,0.195426
layercam_masked_pgd,0.5,A8,579,0.867012,0.176166,0.690846,0.796813
layercam_masked_pgd,0.5,A9,611,0.880524,0.414075,0.466448,0.529740
