method,epsilon_px,class,n_test,clean_accuracy,adv_accuracy,accuracy_drop,attack_success_rate_clean_correct
layercam_masked_pgd,0.125,A1,1092,0.916667,0.865385,0.051282,0.055944
layercam_masked_pgd,0.125,A10,556,0.980216,0.956835,0.023381,0.023853
layercam_masked_pgd,0.125,A11,356,0.910112,0.879213,0.030899,0.033951
layercam_masked_pgd,0.125,A12,462,0.928571,0.906926,0.021645,0.023310
layercam_masked_pgd,0.125,A13,1091,0.688359,0.541705,0.146654,0.213049
layercam_masked_pgd,0.125,A14,1119,0.930295,0.825737,0.104558,0.112392
layercam_masked_pgd,0.125,A15,418,0.839713,0.717703,0.122010,0.145299
layercam_masked_pgd,0.125,A16,1847,0.753655,0.629128,0.124526,0.165230
layercam_masked_pgd,0.125,A17,958,0.967641,0.946764,0.020877,0.021575
layercam_masked_pgd,0.125,A18,148,0.918919,0.891892,0.027027,0.029412
layercam_masked_pgd,0.125,A19,717,0.831241,0.767085,0.064156,0.077181
layercam_masked_pgd,0.125,A2,993,0.917422,0.839879,0.077543,0.084523
layercam_masked_pgd,0.125,A20,551,0.885662,0.847550,0.038113,0.043033
layercam_masked_pgd,0.125,A3,860,0.967442,0.938372,0.029070,0.030048
layercam_masked_pgd,0.125,A4,463,0.926566,0.859611,0.066955,0.072261
layercam_masked_pgd,0.125,A5,827,0.753325,0.675937,0.077388,0.102729
layercam_masked_pgd,0.125,A6,334,0.943114,0.907186,0.035928,0.038095
layercam_masked_pgd,0.125,A7,489,0.989775,0.985685,0.004090,0.004132
layercam_masked_pgd,0.125,A8,579,0.898100,0.785838,0.112263,0.125000
layercam_masked_pgd,0.125,A9,611,0.906710,0.839607,0.067103,0.074007
